author_user_id,tag_id,quiz_title,question,choice1,choice2,choice3,choice4,correct_answer,explanation,answer_source
1,1,＜!DOCTYPE html＞の役割について,＜!DOCTYPE html＞の役割は？,この後に記載する内容がHTML文書であることを示す,最適なHTMLバージョンに自動的に切り替える,使用するHTMLのバージョンを宣言する,ページの読み込み速度を高速化する,3,記載する内容がHTML文書であることを示すのはhtmlタグです。,https://qiita.com/y-wanida/items/db7ddfcc9b974feb0884
1,1,文字コードの指定について,文字コードの指定で正しいのは？,"＜meta charset=""utf-5"" /＞","＜meta charset=""utf-7"" /＞","＜meta charset=""utf-4"" /＞","＜meta charset=""utf-8"" /＞",4,UTF-8 (UCS Transformation Format 8) は World Wide Web において最も一般的な文字エンコーディングです。UTF-7はかつて使用されていましたが、安全性や互換性の問題から現在は推奨されていません。UTF-5とUTF-4は実在しません。,https://developer.mozilla.org/ja/docs/Glossary/UTF-8
1,1,"＜ul＞, ＜ol＞, ＜li＞の役割について","＜ul＞, ＜ol＞, ＜li＞の役割の正しい組み合わせは？",＜ul＞は順序なしリスト要素、＜ol＞は順序付きリスト要素、＜li＞はリスト項目要素,＜ul＞はリスト項目要素、＜ol＞は順序なしリスト要素、＜li＞は順序付きリスト要素,＜ul＞と＜ol＞は順序付きリスト要素、＜li＞は順序なしリスト要素,＜ul＞は順序付きリスト要素、＜ol＞は順序なしリスト要素、＜li＞はリスト項目要素,1,"＜ul＞は順序なしリストを表し、一般的に行頭記号を伴うリストとして表示されます。
＜ol＞は項目の順序付きリストを表し、一般的に番号付きのリストとして表示されます。
＜li＞は＜ul＞と＜ol＞の子要素として配置し、リストの項目を表します。",https://webliker.info/html/64204/
1,1,実行するコードやデータを埋め込む方法について,実行するコードやデータを埋め込むために使用するタグは？,＜span＞,＜script＞,＜source＞,＜object＞,2,"＜span＞は要素をグループ化する用途で使用することができます。
＜source＞はメディアまたは画像のソース要素を指定します。
＜object＞は画像、内部の閲覧コンテキストなど、扱われる外部リソースを表します。",https://developer.mozilla.org/ja/docs/Web/HTML/Element/script
1,1,空要素について,空要素ではないのは？,＜br＞,＜img＞,＜textarea＞,"
＜meta＞",3,"＜br＞, ＜img＞, ＜meta＞は空要素 (void element) です。空要素には開始タグしかなく、終了タグを指定することができません。＜textarea＞は空要素ではないですが、＜area＞は空要素です。",https://developer.mozilla.org/ja/docs/Glossary/Void_element
1,1,HTMLでコメントを書く方法について,HTMLでコメントを書く方法は？, ＜!-- コメント --＞,// コメント,# コメント, /* コメント */,1,HTMLのコメントは ＜!-- で始まり、--＞ で終わります。,https://www.sejuku.net/blog/50683
1,1,外部CSSを読み込むタグについて,外部CSSを読み込むタグは？,＜css＞,＜style＞,＜link＞, ＜script＞,3,＜link＞タグは外部のCSSファイルをHTMLに読み込むために使います。,https://saruwakakun.com/html-css/reference/where-css
1,1,ユーザーが入力するための1行のテキストボックスを作成するタグについて,ユーザーが入力するための1行のテキストボックスを作成するタグは？, ＜textarea＞, ＜textbox＞, ＜textfield＞,"＜input type=""text""＞",4,"1行のテキスト入力フィールドを作成するには＜input type=""text""＞を使います。",https://developer.mozilla.org/ja/docs/Web/HTML/Element/input
1,1,alt属性が使用される要素について,alt属性が使用される要素は？, ＜a＞, ＜img＞,＜p＞,＜div＞,2,alt属性は画像が表示されない場合に代替テキストを表示するために使います。,https://developer.mozilla.org/ja/docs/Web/API/HTMLImageElement/alt
1,1,HTMLでボタンを作成するタグについて,HTMLでボタンを作成するタグは？, ＜btn＞, ＜button＞,＜input＞, ＜submit＞,2,＜button＞タグはクリック可能なボタンを作成します。,https://developer.mozilla.org/ja/docs/Web/HTML/Element/button
1,1,HTMLの標準仕様について,HTMLの標準仕様は？,HTML Layput System,HTML6,HTML Living Standard,HTML5,3,HTML5はW3C、HTML Living StandardはWHATWGという組織が策定したHTMLの仕様です。2つの仕様は6年以上に渡り共存していましたが、2021年にHTML5が廃止され、HTML Living Standardが標準仕様として採用されました。,https://anymanager.io/ja/blog/html5/html-living-standard
